lemma	variant	isabstract	lexicalunit.comment like '%<##s>%'
taśma filmowa	2	0	1
teren zabudowany	1	0	0
transakcja handlowa	1	0	0
trasa szybkiego ruchu	1	0	0
twórczość literacka	1	0	0
twórczość poetycka	1	0	0
lista obecności	1	0	0
zdrojek pospolity	1	0	0
układ ciała	1	0	0
upadły anioł	1	0	0
podmiot logiczny	1	0	0
urzędnik wysokiego szczebla	1	0	0
usilna prośba	1	0	0
ustawa zasadnicza	1	0	0
ułamek sekundy	1	0	0
ułożenie ciała	1	0	0
warga dolna	1	0	0
Osoba Boska	1	0	0
wieki średnie	1	0	0
postać gazowa	1	0	0
postać lotna	1	0	0
wolna ręka	1	0	0
wóz czterokonny	1	0	0
kolory państwowe	1	0	0
wydanie na świat	1	0	0
wynik badania	1	0	0
wyrok skazujący	1	0	0
wyrok uniewinniający	1	0	0
wyrzuty sumienia	1	0	0
borówka czerwona	1	0	0
wyższe sfery	1	0	0
władza ludu	1	0	0
żądza sukcesu	1	0	0
zakład gastronomiczny	1	0	0
zakład karny	1	0	0
zamek błyskawiczny	1	0	0
choroba dekompresyjna	1	0	0
zbieg okoliczności	1	0	0
zbiór praw	1	1	0
zbiór przepisów	1	1	0
zespół wokalny	1	0	0
zjawisko naturalne	1	0	0
znak dodawania	1	0	0
zorza poranna	1	0	0
źródło światła	1	0	1
zrządzenie losu	1	0	0
związek chemiczny	1	0	1
związek małżeński	1	0	0
związek nieorganiczny	1	0	0
związek organiczny	1	0	0
zła strona	1	0	0
złota akcja	1	0	0
zły duch	1	0	0
ładunek wybuchowy	1	0	0
niezgodność z prawdą	1	0	0
roślina uprawna	1	0	0
stan fizyczny	1	1	0
stan psychiczny	1	1	0
figura geometryczna	2	0	0
figura wypukła	1	0	0
odczucie fizyczne	1	0	0
placówka dyplomatyczna	1	0	0
płyta nagrobna	1	0	0
granica państwa	1	0	0
gospodarstwo domowe	1	0	0
dom wolnostojący	1	0	0
dom jednorodzinny	1	0	0
dolina rzeczna	1	0	0
dolina polodowcowa	1	0	0
gabinet dentystyczny	1	0	0
gabinet lekarski	1	0	0
gabinet kosmetyczny	1	0	0
szpital zakaźny	1	0	0
szpital psychiatryczny	1	0	0
szpital polowy	1	0	0
placówka służby zdrowia	1	0	0
sala chorych	1	0	0
sala operacyjna	1	0	0
gabinet zabiegowy	1	0	0
izba przyjęć	1	0	0
szkoła podstawowa	1	0	0
szkoła językowa	1	0	0
szkoła zawodowa	1	0	0
sala lekcyjna	1	0	0
sala gimnastyczna	1	0	0
miasto stołeczne	1	0	0
cela śmierci	1	0	0
lokal usługowy	1	0	0
lokal użytkowy	1	0	0
biblioteka szkolna	1	0	0
biblioteka uniwersytecka	1	0	0
biblioteka internetowa	1	0	0
bar mleczny	1	0	0
płyta chodnikowa	1	0	0
kostka brukowa	1	0	0
dobry uczynek	1	0	0
dworzec autobusowy	1	0	0
dworzec kolejowy	1	0	0
oberwanie chmury	1	0	0
faza księżyca	1	0	0
język ognia	1	0	0
drzewo liściaste	1	0	0
drzewo iglaste	1	0	0
klęska żywiołowa	1	0	0
stan zapalny	1	0	0
trąba powietrzna	1	0	0
zmiana położenia	1	0	0
bryła geometryczna	1	0	0
bryła obrotowa	1	0	0
linia prosta	1	0	0
równia pochyła	1	0	0
linia krzywa	1	0	0
warunki atmosferyczne	1	0	0
dobre stosunki	1	0	0
dobre układy	1	0	0
stan terminalny	1	0	0
kondycja fizyczna	1	0	0
sprawność fizyczna	1	0	0
sen na jawie	1	0	0
całkowity negliż	1	0	0
zanieczyszczenie środowiska	1	0	0
życie z dnia na dzień	1	0	0
bliska znajomość	1	0	0
ciepłe stosunki	1	0	0
więzy krwi	1	0	0
powiązanie towarzyskie	1	0	1
powiązanie rodzinne	1	0	1
zmiana skórna	1	0	0
brak zdrowia	1	0	0
owocówka jabłkóweczka	1	0	0
klatka schodowa	1	0	0
budka suflera	1	0	0
duży pokój	1	0	0
pokój dzienny	1	0	0
zakład usługowy	1	0	0
zakład fryzjerski	1	0	0
zakład kosmetyczny	1	0	0
salon meblowy	1	0	0
salon motoryzacyjny	1	0	0
komplet wypoczynkowy	1	0	0
stan skupienia	1	0	0
sala konferencyjna	1	0	0
ogród owocowy	1	0	0
punkt skupu	1	0	0
skup złomu	1	0	0
skup makulatury	1	0	0
sygnalizacja świetlna	1	0	1
skrzyżowanie równorzędne	1	0	0
oczyszczalnia ścieków	1	0	0
oczyszczalnia gazów	1	0	0
ciało stałe	1	0	0
brzydki zapach	1	0	0
nowotwór niezłośliwy	1	0	0
nowotwór złośliwy	1	0	0
zjawisko atmosferyczne	1	0	0
zjawisko akustyczne	1	0	0
zjawisko astronomiczne	1	0	0
burza śnieżna	1	0	0
zjawisko nadprzyrodzone	1	0	0
stadion piłkarski	1	0	0
stadion lekkoatletyczny	1	0	0
sklep spożywczy	1	0	0
stosunki czasowe	1	1	0
pas startowy	1	0	0
przystanek autobusowy	1	0	0
przystanek tramwajowy	1	0	0
giełda kwiatowa	1	0	0
giełda spożywcza	1	0	0
giełda samochodowa	1	0	0
giełda papierów wartościowych	1	0	0
giełda towarowa	1	0	0
hala fabryczna	1	0	0
hala produkcyjna	1	0	0
hala wystawowa	1	0	0
hala targowa	1	0	0
hala dworcowa	1	0	0
hala maszyn	1	0	0
hala sportowa	1	0	0
kopalnia soli	1	0	0
kopalnia węgla kamiennego	1	0	0
kopalnia węgla brunatnego	1	0	0
cecha fizyczna	1	1	0
właściwość zdarzenia, sytuacji	1	1	0
płeć męska	1	0	0
płeć żeńska	1	0	0
celny strzał	1	0	0
naturalny zbiornik wodny	1	0	0
ciek wodny	1	0	0
minerał skałotwórczy	1	0	0
tlenek wodoru	1	0	0
cukier lodowy	1	0	0
forma skupienia substancji	1	1	0
olej jadalny	1	0	0
suwnica bramowa	1	0	0
cmentarz parafialny	1	0	1
cmentarz komunalny	1	0	1
świeca zapłonowa	1	0	0
klucz krzyżakowy	1	0	0
klucz nasadowy	1	0	0
klucz francuski	1	0	0
język łaciński	1	0	0
brzydki wyraz	1	0	0
związek wyrazowy	1	0	0
cecha otoczenia	1	1	0
nosiciel cechy	1	1	0
cierpienia fizyczne	1	0	0
choroba ducha	1	0	0
forma fizyczna	1	0	0
uczucie psychiczne	1	0	0
poczucie niższości	1	0	0
rok jubileuszowy	1	0	0
huta szkła	1	0	0
front zokludowany	1	0	0
dzieło sztuki	1	0	0
akt chrztu	1	0	0
akt zgonu	1	0	0
akt urodzenia	1	0	0
akt kapitulacji	1	0	0
akt notarialny	1	0	0
akt oskarżenia	1	0	0
pracownik instytucji publicznych	1	1	0
członek rodziny	1	0	0
imię i nazwisko	1	0	0
kaczka dziennikarska	1	0	0
projektant mody	1	0	0
pracownik służby zdrowia	1	1	0
instytucja naukowa	1	0	0
umowa międzynarodowa	1	0	0
człowiek ze względu na płeć	1	1	0
gruszki na wierzbie	1	0	0
wyraz pospolity	1	0	0
nazwa pospolita	1	0	0
nazwa własna	1	0	0
znak odejmowania	1	0	0
znak językowy	1	0	0
twardy orzech do zgryzienia	1	0	0
utwór instrumentalny	1	1	0
utwór muzyczny	1	1	0
jednostka leksykalna	1	0	0
trąbka Eustachiusza	1	0	0
utwór literacki	1	0	0
złota myśl	1	0	0
ryba drapieżna	1	0	0
ptak drapieżny	1	0	1
woreczek żółciowy	1	0	0
jelito grube	1	0	0
jelito cienkie	1	0	0
gałka oczna	1	0	0
mały palec	1	0	0
palec środkowy	1	0	0
palec wskazujący	1	0	0
palec serdeczny	1	0	0
pracownik oświaty	1	1	0
głowa Kościoła	1	0	0
głowa państwa	1	0	0
pic na wodę, fotomontaż	1	0	0
osoba niepracująca	1	0	1
pracownik fizyczny	1	0	0
odmienny stan	1	0	0
rok kościelny	1	0	0
rok akademicki	1	0	0
rok szkolny	1	0	0
układ nerwowy	1	0	0
jądro komórkowe	1	0	0
błona komórkowa	1	0	0
układ krwionośny	1	0	0
miłość do ojczyzny	1	0	0
bujda na resorach	1	0	0
przedstawiciel handlowy	1	0	0
chęć posiadania	1	0	0
pociąg fizyczny	1	0	0
człowiek ze względu na pełnioną funkcję	1	1	0
człowiek posiadający jakieś nadprzyrodzone zdolności	1	1	0
człowiek zmieniający miejsce pobytu	1	1	0
specjalista od nauk społecznych	1	0	0
poczucie humoru	1	0	0
zła wola	1	0	0
człowiek charakteryzowany ze względu na kwalifikacje	1	1	0
nazwa człowieka uwzględniająca jego cechy	1	1	0
nazwa człowieka wyrażająca ambiwalentny stosunek do niego	1	1	0
warga górna	1	0	0
człowiek ze względu na swoje zajęcie	1	1	0
układ moczowy	1	0	0
odczucie psychiczne	1	0	0
skakanie w linkę	1	0	1
staw kolanowy	1	0	0
poczucie winy	1	0	0
umyślne działanie	1	0	0
radość życia	1	0	0
układ trawienny	1	0	0
układ oddechowy	1	0	0
człowiek oceniany negatywnie	1	1	0
obraźliwe słowa	1	0	0
zespół niewrażliwości na androgeny	1	0	0
istota mitologiczna	1	1	0
język polski	1	0	0
karta wstępu	1	0	0
bomba atomowa	1	0	0
broń palna	1	0	0
broń sieczna	1	0	0
broń jądrowa	1	0	0
samochód osobowy	1	0	0
element wyposażenia	1	0	0
gitara akustyczna	1	0	0
gitara elektryczna	1	0	0
gitara basowa	1	0	0
okrycie wierzchnie	1	0	0
karabin maszynowy	1	0	0
wodożytka Jenkinsa	1	0	0
stacja dysków	1	0	0
instalacja elektryczna	1	0	0
kuchenka mikrofalowa	1	0	0
kuchenka gazowa	1	0	1
kuchenka elektryczna	1	0	1
zestawienie finansowe	1	0	0
proces ekonomiczny	1	0	0
korzyść majątkowa	1	0	0
brzęcząca moneta	1	0	0
marny grosz	1	0	0
psi grosz	1	0	0
psie pieniądze	1	0	0
obrót handlowy	1	0	0
podatek akcyzowy	1	0	0
operacja finansowa	1	0	0
rzecz ruchoma	1	0	0
rzecz nieruchoma	1	0	0
transakcja finansowa	1	0	0
handel wymienny	1	0	0
muzyka klasyczna	1	0	0
przybory do pisania	1	0	0
organizacja polityczna	1	0	1
organizacja społeczna	1	0	1
zespół urządzeń	1	0	1
trzoda chlewna	1	0	0
stan społeczny	1	0	0
policja drogowa	1	0	0
bedłka wyniosła	1	0	0
zespół ludzi	1	0	0
high life	1	0	0
dywizjon artylerii	1	0	0
poczet sztandarowy	1	0	0
państwo związkowe	1	0	0
zbiór rzeczy	1	1	0
grupa zwierząt	1	1	0
grupa ludzi	1	0	0
zespół muzyczny	1	0	0
zespół rockowy	1	0	0
krewni i znajomi królika	1	0	0
towarzystwo wzajemnej adoracji	1	0	0
zbiór ludzi	1	0	1
ród człowieczy	1	0	0
plemię Adamowe	1	0	0
syndykat zbrodni	1	0	0
małżeńskie stadło	1	0	0
terapia poznawcza	1	0	0
organ władzy	1	0	1
orkiestra kameralna	1	0	0
orkiestra dęta	1	0	0
orkiestra symfoniczna	1	0	0
orszak żałobny	1	0	0
stan trzeci	1	0	0
rada starszych	1	0	0
ławka rezerwowych	1	0	0
izba niższa	1	0	0
izba poselska	1	0	0
izba wyższa	1	0	0
grupa roślin	1	1	0
krąg kulturowy	1	0	0
górna granica	1	0	0
stopień zaawansowania	1	0	1
jednostka powierzchni	1	0	0
polski nowy	1	0	0
jednostka prędkości	1	0	0
jednostka mocy	1	0	0
człowiek charakteryzowany ze względu na cechy fizyczne	1	1	0
człowiek o określonych preferencjach seksualnych	1	1	0
punkt typograficzny	1	0	0
jednostka walutowa	1	0	0
lwia część	1	0	0
szkoła wyższa	2	0	0
szkoła średnia	2	0	0
nauka matematyczno-przyrodnicza	1	0	0
nauka humanistyczna	1	0	0
system poglądów	1	0	0
historia sztuki	1	0	0
pojęcie matematyczne	1	0	0
nauka techniczna	1	0	0
różnica zdań	1	0	0
sztuka plastyczna	1	0	0
rachunek prawdopodobieństwa	1	0	0
mechanika kwantowa	1	0	0
wytwór umysłu	1	0	0
dziedzina wiedzy	1	0	0
brak koncentracji	1	0	0
stan umysłowy	1	0	0
proces psychiczny	1	0	0
prawo fizyki	1	0	0
nauka prawa	1	0	0
nauka społeczna	1	0	0
aparat fotograficzny	1	0	0
przyrząd optyczny	1	0	0
lampa błyskowa	1	0	0
naczynie sanitarne	1	0	0
