DB ID	Is abstract?	Part of Speech	Lemma
4740	False	verb	odbić się
4749	False	verb	odbywać się
4769	False	verb	oddalać się
4771	False	verb	oddalić się
4784	False	verb	odegrać się
4796	False	verb	odezwać się
4798	False	verb	odgrażać się
4799	False	verb	odgrywać rolę
4807	False	verb	odkręcić się
4836	False	verb	odnieść wrażenie
4837	False	verb	odnieść się
4841	False	verb	odnosić się
4842	False	verb	odnosić się
4899	False	verb	odróżniać się
4901	False	verb	odrywać się
4940	False	verb	odwinąć się
4946	False	verb	odwrócić się
4959	False	verb	odzywać się
4960	False	verb	odżywiać się
4975	False	verb	ogarnąć umysłem
4983	False	verb	oglądać się
5061	False	subst	olej napędowy
5082	False	verb	opamiętać się
5085	False	verb	opanować się
5107	False	verb	opiekować się
5109	False	verb	opierać się
5110	False	verb	opierać się
5126	False	verb	opowiadać się
5131	False	verb	opowiedzieć się
5144	False	verb	oprzeć się
5145	False	verb	oprzeć się
5160	False	verb	opłacać się
5213	False	verb	osiedlać się
5215	False	subst	osiedlenie się
5216	False	verb	osiedlić się
5258	False	verb	oświadczyć się
5300	False	verb	otwierać się
5304	False	verb	otworzyć się
5312	False	verb	owinąć wokół palca
5321	False	verb	ożenić się
5354	False	verb	palić się
5366	False	subst	pan domu
5368	False	subst	pani domu
5374	False	verb	panoszyć się
5390	False	subst	papier wartościowy
5407	False	subst	park sztywnych
5444	False	verb	pastwić się
5516	False	verb	pełnić rolę
5522	False	verb	piąć się
5554	False	subst	pierwsza pomoc
5569	False	subst	piętnaście minut
5608	False	subst	plac gry
5626	False	verb	plątać się
5648	False	verb	pobierać nauki
5649	False	verb	pobierać się
5671	False	verb	pochylić się
5700	False	subst	poczucie własnej godności
5701	False	verb	poczynać sobie
5706	False	verb	podać się do dymisji
5714	False	subst	podatek od dochodów osobistych
5715	False	subst	podatek od przedsiębiorstw
5716	False	subst	podatek od towarów i usług
5723	False	verb	podawać się do dymisji
5731	False	verb	poddać próbie
5732	False	verb	poddać się
5733	False	verb	poddać się
5735	False	verb	poddawać się
5738	False	verb	podejmować się
5749	False	verb	podeprzeć się
5750	False	verb	poderwać się
5757	False	verb	podjąć decyzję
5758	False	verb	podjąć się
5777	False	verb	podnieść na duchu
5778	False	verb	podnieść się
5782	False	verb	podnosić na duchu
5783	False	verb	podnosić się
5784	False	verb	podobać się
5789	False	verb	podpierać się
5821	False	verb	podtrzymać na duchu
5824	False	verb	podtrzymywać na duchu
5862	False	subst	pogoda ducha
5866	False	verb	pogodzić się
5877	False	verb	pogłowić się
5883	False	verb	wziąć za żonę
5884	False	verb	pojawiać się
5885	False	verb	pojawić się
5886	False	verb	pojawić się
5887	False	verb	pojawić się
5890	False	subst	pojazd kołowy
5894	False	verb	pojednać się
5904	False	verb	pójść o zakład
5910	False	verb	pokazać się
5915	False	verb	pokazywać się
5919	False	subst	pokój lekcyjny
5935	False	subst	pole bitwy
5977	False	subst	pomoc domowa
6000	False	verb	ponieść odpowiedzialność
6001	False	verb	ponieść porażkę
6002	False	verb	ponieść śmierć
6004	False	verb	ponosić odpowiedzialność
6005	False	verb	ponosić porażkę
6016	False	verb	popisać się
6023	False	verb	poprosić o rękę
6040	False	verb	poradzić się
6056	False	verb	porozumieć się
6059	False	subst	port lotniczy
6068	False	verb	poruszyć się
6094	False	verb	posilać się
6095	False	verb	posilić się
6121	False	verb	postarać się
6122	False	verb	postarać się
6144	False	verb	posuwać się
6149	False	verb	poświęcać się
6153	False	verb	poświęcić się
6155	False	verb	posyłać uśmiech
6160	False	verb	poszerzyć się
6167	False	verb	posłać uśmiech
6174	False	verb	posługiwać się
6179	False	verb	posłużyć się
6185	False	verb	potęgować się
6202	False	subst	potrzeba picia
6233	False	verb	powetować sobie
6243	False	verb	powiedzieć na ucho
6246	False	verb	powiększać się
6260	False	verb	powinno się
6325	False	verb	pozbyć się
6328	False	verb	pożegnać się
6329	False	verb	pożegnać się z życiem
6330	False	verb	pożegnać się ze światem
6337	False	verb	poznać się
6377	False	verb	pożywiać się
6378	False	verb	pożywić się
6404	False	verb	położyć się
6411	False	subst	praca pisemna
6421	False	subst	pracownik naukowy
6438	False	subst	prawa człowieka
6497	False	verb	prezentować się
6498	False	subst	Prezes Rady Ministrów
6524	False	subst	proces myślowy
6620	False	verb	przebudzać się
6630	False	verb	przechowywać się
6659	False	verb	przedostać się
6673	False	verb	przedstawiać sobie
6674	False	verb	przedstawiać się
6710	False	verb	przejmować się
6716	False	subst	przejście graniczne
6743	False	verb	przekroczyć próg
6749	False	verb	przekwaterowywać się
6751	False	verb	przeląc się
6753	False	verb	przelęknąć się
6763	False	verb	przemieścić się
6764	False	verb	przemieszczać się
6772	False	verb	przemówić do rozsądku
6773	False	verb	przemówić do rozumu
6786	False	verb	przenieść się
6787	False	verb	przenieść się do lepszego świata
6788	False	verb	przenieść się do wieczności
6789	False	verb	przenieść się na tamten świat
6790	False	verb	przenieść się na łono Abrahama
6791	False	subst	przeniesienie praw
6797	False	verb	przenosić się
6817	False	verb	przeprawiać się
6819	False	verb	przeprowadzać się
6856	False	verb	przestraszyć się
6908	False	subst	przewód wentylacyjny
6951	False	verb	przybliżać się
6952	False	verb	przybliżyć się
6961	False	verb	przychylić się
6969	False	verb	przyczynić się
6970	False	verb	przydać się
6977	False	verb	przyglądać się
7009	False	verb	przyjrzeć się
7011	False	verb	przyjść na świat
7031	False	subst	przynależność państwowa
7043	False	verb	przypadać do gustu
7050	False	verb	przypaść do gustu
7051	False	verb	przypatrywać się
7052	False	verb	przypatrzyć się
7060	False	verb	przypomnieć się
7078	False	verb	przyspieszyć kroku
7095	False	verb	przysłuchiwać się
7102	False	verb	przytrafić się
7124	False	subst	przyznanie się
7127	False	verb	przyznawać się
7133	False	verb	przyzwyczaić się
7136	False	verb	przyłączyć się
7139	False	verb	psuć krew
7170	False	subst	punkt widzenia
7171	False	subst	punkt wyjścia
7175	False	verb	puścić farbę
7176	False	verb	puścić płazem
7177	False	verb	puścić z dymem
7248	False	verb	raczyć się
7251	False	subst	Rada Ministrów
7259	False	verb	radować się
7324	False	subst	rejon walk
7411	False	subst	ród ludzki
7443	False	verb	ronić łzy
7475	False	verb	rozbudzać się
7478	False	verb	rozchylać się
7479	False	verb	rozchylić się
7483	False	verb	rozczarować się
7485	False	verb	rozczulić się
7497	False	verb	rozerwać się
