DB ID	Is abstract?	Part of Speech	Lemma
30248	False	subst	dysk optyczny
30255	False	subst	mikroskop elektronowy
30258	False	subst	satelita telekomunikacyjny
30267	False	subst	ładunek jądrowy
30269	False	subst	dach dwuspadowy
30270	False	subst	dach mansardowy
30271	False	subst	dach łamany
30276	False	subst	głaz narzutowy
30282	False	subst	majątek nieruchomy
30290	False	subst	pulpit sterowniczy
30297	False	subst	wał napędowy
30298	False	subst	wilczy dół
30301	False	subst	ładunek elektryczny
30310	False	subst	kapitał obrotowy
30312	False	subst	narząd rodny
30314	False	subst	podatek progresywny
30324	False	subst	artykuł wstępny
30350	False	subst	wyraz obcy
30402	False	subst	kwas azotowy
30403	False	subst	kwas foliowy
30404	False	subst	kwas nukleinowy
30405	False	subst	kwas organiczny
30408	False	subst	pierwiastek śladowy
30412	False	subst	płyn hamulcowy
30413	False	subst	płyn infuzyjny
30424	False	subst	węglowodór aromatyczny
30476	False	subst	piec grzewczy
30483	False	subst	prąd zmienny
30491	False	subst	stopień wodny
30492	False	subst	stopień wodny
30505	False	subst	ciąg nieskończony
30521	False	subst	niedźwiedź jaskiniowy
30525	False	subst	sąd rewizyjny
30538	False	subst	lord protektor
30539	False	subst	niedźwiedź czarny
30543	False	subst	rok świetlny
30547	False	subst	wąż morski
30565	False	subst	list żelazny
30573	False	subst	oficer flagowy
30584	False	subst	nalot dywanowy
30588	False	subst	poemat symfoniczny
30591	False	subst	skrypt dłużny
30592	False	subst	stos atomowy
30594	False	subst	strzelec pokładowy
30610	False	subst	kilka zwyczajna
30649	False	subst	pigwa pospolita
30672	False	subst	napęd rakietowy
30683	False	subst	pocisk balistyczny
30685	False	subst	prąd stały
30691	False	subst	silnik tłokowy
30706	False	subst	łuk elektryczny
30707	False	subst	pocisk smugowy
30719	False	subst	wzór chemiczny
33251	True	subst	służby wewnętrzne państwa
33272	False	subst	język formalny
33321	False	subst	jon dodatni
33323	False	subst	jon ujemny
33325	False	subst	jon centralny
33326	False	subst	żuk gnojak
33328	False	subst	żuk gnojowy
33329	False	subst	żuk leśny
33330	False	subst	żuk gnojarz
33332	False	subst	żołnierz liniowy
33333	False	subst	akcent inicjalny
33334	False	subst	akcent retoryczny
33335	False	subst	akcent ruchomy
33337	False	subst	akcent toniczny
33349	False	subst	alkohol metylowy
33352	False	subst	wtórny analfabetyzm
33353	False	subst	anioł morski
33356	False	subst	spirytus drzewny
33360	False	subst	aldehyd octowy
33361	False	subst	aldehyd mrówkowy
33365	False	subst	adiutant przyboczny
33366	False	subst	aparat stereoskopowy
33369	False	subst	związek heterocykliczny
33373	False	subst	związek frazeologiczny
33376	False	subst	związek acykliczny
33377	False	subst	związek łańcuchowy
33381	False	subst	znak stenograficzny
33388	False	subst	arkusz drukarski
33389	False	subst	arkusz introligatorski
33394	False	subst	arkusz autorski
33395	False	subst	arkusz wydawniczy
33406	False	subst	język hindi
33409	False	subst	język urdu
33412	False	subst	język kurdyjski
33414	False	subst	język galicyjski
33419	False	subst	język fryzyjski
33422	False	subst	język luksemburski
33431	False	subst	język dolnołużycki
33450	False	subst	języki afroazjatyckie
33451	False	subst	języki semito-chamickie
33452	False	subst	Bóg filozofów
33453	False	subst	języki ałtajskie
33460	False	subst	języki eskimosko-aleuckie
33463	False	subst	języki uralskie
33465	False	subst	język fiński
33467	False	subst	język hetycki
33468	False	subst	język holenderski
33469	False	subst	język niderlandzki
33470	False	subst	języki austronezyjskie
33474	False	subst	języki austroazjatyckie
33475	False	subst	język izolowany
33479	False	subst	język praindoeuropejski
33484	False	subst	język spustowy
33486	False	subst	język ezopowy
33491	False	subst	język maszynowy
33499	False	subst	układ adaptacyjny
33500	False	subst	kabel koncentryczny
33501	False	subst	kaczka krzyżówka
33508	False	subst	kamień litograficzny
33512	False	subst	kamień probierczy
33515	False	subst	kanał energetyczny
33525	False	subst	artykuł hasłowy
33527	False	subst	znak diakrytyczny
33529	False	subst	atrament sympatyczny
33535	False	subst	nawigator automatyczny
33538	False	subst	azbest chryzotylowy
33539	False	subst	kapitał trwały
33543	False	subst	złocień maruna
33547	False	subst	zimowit jesienny
33555	False	subst	karabin skałkowy
33558	False	subst	karp królewski
33559	False	subst	basen oceaniczny
33561	False	subst	basen sedymentacyjny
33564	False	subst	zez zbieżny
33565	False	subst	zez rozbieżny
33567	True	subst	układ elektroniczny
33568	False	subst	katalog działowy
33571	False	subst	katalog przedmiotowy
33572	False	subst	katalog rzeczowy
33573	False	subst	bębenek baskijski
33578	False	subst	basen modelowy
33579	False	subst	zegar kwarcowy
33583	False	subst	bawełnica korówka
33584	False	subst	korówka wełnista
33590	False	subst	bedlington terrier
33595	False	subst	kąt półpełny
33599	False	subst	kąt bryłowy
33600	False	subst	kąt dwuścienny
33601	False	subst	kąt graniczny
33604	False	subst	zegar atomowy
33605	False	subst	zegar astronomiczny
33618	False	subst	zając morski
33621	False	subst	zaimek zwrotny
33622	False	subst	zaimek względny
33623	False	subst	zaimek pytajny
33624	False	subst	zaimek przymiotny
33626	False	subst	zaimek osobowy
33627	False	subst	zaimek nieokreślony
33628	False	subst	zaimek liczebny
33630	False	subst	zaimek dzierżawczy
33631	False	subst	zaimek anaforyczny
33633	False	subst	wzrost olbrzymi
33635	False	subst	wzór sumaryczny
33637	False	subst	wzór strukturalny
33638	False	subst	bieg bezpośredni
33639	False	subst	wzór redukcyjny
33644	False	subst	biały karzeł
33645	False	subst	wzór kulturowy
33647	False	subst	biały szafir
33656	False	subst	elektrownia pływowa
33657	False	subst	źródło pola
33659	False	subst	biegun elektryczny
33660	False	subst	biegun magnetyczny
33662	False	subst	marsz patrolowy
33669	False	subst	wyraz wolny
33670	False	subst	wyraz pokrewny
33672	False	subst	wyraz podstawowy
33673	False	subst	podstawa słowotwórcza
33674	False	subst	wyraz pochodny
33681	False	subst	wymieniacz jonowy
33687	False	subst	wulkan czynny
33688	False	subst	wulkan błotny
33691	False	subst	wstrząs anafilaktyczny
33693	False	subst	reakcja anafilaktyczna
33701	False	subst	wół piżmowy
33703	False	subst	ssak łożyskowy
33710	False	subst	wosk ziemny
33715	False	subst	błona surowicza
33716	False	subst	worek osierdziowy
33723	False	subst	wołek zbożowy
33731	False	subst	wilczy głód
33732	False	subst	wilczomlecz piękny
33734	False	subst	wilczarz irlandzki
33736	False	subst	wikariusz kapitulny
33737	False	subst	wikariat apostolski
33742	False	subst	wiersz leoniński
33744	False	subst	biały wiersz
33745	False	subst	wielościan foremny
33765	False	subst	wiąz górski
33769	False	subst	węzeł płaski
33778	False	subst	warunek dostateczny
33781	False	subst	wapień muszlowy
33784	False	subst	wał nadoczodołowy
33786	False	subst	wagon pulmanowski
33794	False	subst	ułamek zwykły
33795	False	subst	ułamek właściwy
33796	False	subst	ułamek piętrowy
33797	False	subst	ułamek dziesiętny
33802	False	subst	klon jawor
33803	False	subst	klon polny
33804	False	subst	klucz dynamometryczny
33805	False	subst	klucz uniwersalny
33806	False	subst	klucz wiertniczy
33807	False	subst	kodeks dyplomatyczny
33808	False	subst	kod genetyczny
33809	False	subst	kod handlowy
33811	False	subst	koks odlewniczy
33812	False	subst	roztwór koloidowy
33814	False	subst	kolor lokalny
33818	False	subst	komin wulkaniczny
33821	False	subst	bielinek kapustnik
33822	False	subst	bilans księgowy
33823	False	subst	bilet bankowy
33832	False	subst	potencjał biotyczny
33834	False	subst	aron ha-kodesz
33835	False	subst	blok kontynentalny
33837	False	subst	cokół kontynentalny
33839	False	subst	blok startowy
33849	False	subst	błękit indygowy
33851	False	subst	błękit kobaltowy
33852	False	subst	błękit pruski
33853	False	subst	błękit paryski
33854	False	subst	błękit berliński
33855	False	subst	błyszczka jarzynówka
33856	False	subst	błyszczka gamma
33857	False	subst	bocian biały
33858	False	subst	bocian czarny
33862	False	subst	bodziec bezwarunkowy
33863	False	subst	bodziec podprogowy
33864	False	subst	bodziec progowy
33865	False	subst	bodziec warunkowy
33867	False	subst	bojar putny
33872	False	subst	borówka brusznica
33873	False	subst	brudnica mniszka
33875	False	subst	brudnica nieparka
33876	False	subst	bruzdownica pędówka
33884	False	subst	szlif brylantowy
33885	False	subst	bon lokacyjny
33907	False	subst	byt absolutny
33910	False	subst	camera obscura
33911	False	subst	linia melodyczna
33912	False	subst	linia kompozycyjna
33913	False	subst	cantus firmus
33914	False	subst	czerwony cedr
33915	False	subst	jałowiec wirginijski
33916	False	subst	cegła dziurawka
33921	False	subst	cenzus wyborczy
33928	False	subst	certyfikat okrętowy
33929	False	subst	chart afgański
33930	False	subst	układ wielofazowy
33931	False	subst	chart rosyjski
33932	False	subst	układ heterogeniczny
33934	False	subst	buńczuk orkiestrowy
33952	False	subst	kwas akrylowy
33953	False	subst	kwas alginowy
33954	False	subst	kwas nieorganiczny
33955	False	subst	kwas askorbinowy
33956	False	subst	kwas benzoesowy
33957	False	subst	kwas cytrynowy
33958	False	subst	kwas deoksyrybonukleinowy
33959	False	subst	kwas rybonukleinowy
