

aldehyd mrówkowy


adiutant przyboczny


aparat stereoskopowy


związek heterocykliczny


związek frazeologiczny


związek acykliczny


związek łańcuchowy


znak stenograficzny


arkusz drukarski


arkusz introligatorski


arkusz autorski


arkusz wydawniczy


język hindi


język urdu


język kurdyjski


język galicyjski


język fryzyjski


język luksemburski


język dolnołużycki


języki afroazjatyckie


języki semito-chamickie


Bóg filozofów


języki ałtajskie


języki eskimosko-aleuckie


języki uralskie


język fiński


język hetycki


język holenderski


język niderlandzki


języki austronezyjskie


języki austroazjatyckie


język izolowany


język praindoeuropejski


język spustowy


język ezopowy


język maszynowy


układ adaptacyjny


kabel koncentryczny


kaczka krzyżówka


kamień litograficzny


kamień probierczy


kanał energetyczny


artykuł hasłowy


znak diakrytyczny


atrament sympatyczny


nawigator automatyczny


azbest chryzotylowy


kapitał trwały


złocień maruna


zimowit jesienny


karabin skałkowy


karp królewski


basen oceaniczny


basen sedymentacyjny


zez zbieżny


zez rozbieżny


układ elektroniczny


katalog działowy


katalog przedmiotowy


katalog rzeczowy


bębenek baskijski


basen modelowy


zegar kwarcowy


bawełnica korówka


korówka wełnista


bedlington terrier


kąt półpełny


kąt bryłowy


kąt dwuścienny


kąt graniczny


zegar atomowy


zegar astronomiczny


zając morski


zaimek zwrotny


zaimek względny


zaimek pytajny


zaimek przymiotny


zaimek osobowy


zaimek nieokreślony


zaimek liczebny


zaimek dzierżawczy


zaimek anaforyczny


wzrost olbrzymi


wzór sumaryczny


wzór strukturalny


bieg bezpośredni


wzór redukcyjny


biały karzeł


wzór kulturowy


biały szafir


elektrownia pływowa


źródło pola


biegun elektryczny


biegun magnetyczny


marsz patrolowy


wyraz wolny


wyraz pokrewny


wyraz podstawowy


podstawa słowotwórcza


wyraz pochodny


wymieniacz jonowy


wulkan czynny


wulkan błotny


wstrząs anafilaktyczny


reakcja anafilaktyczna


wół piżmowy


ssak łożyskowy


wosk ziemny


błona surowicza


worek osierdziowy


wołek zbożowy


wilczy głód


wilczomlecz piękny


wilczarz irlandzki


wikariusz kapitulny


wikariat apostolski


wiersz leoniński


biały wiersz


wielościan foremny


wiąz górski


węzeł płaski


warunek dostateczny


wapień muszlowy


wał nadoczodołowy


wagon pulmanowski


ułamek zwykły


ułamek właściwy


ułamek piętrowy


ułamek dziesiętny


klon jawor


klon polny


klucz dynamometryczny


klucz uniwersalny


klucz wiertniczy


kodeks dyplomatyczny


kod genetyczny


kod handlowy


koks odlewniczy


roztwór koloidowy


kolor lokalny


komin wulkaniczny


bielinek kapustnik


bilans księgowy


bilet bankowy


potencjał biotyczny


aron ha-kodesz


